Termes/expressions | Langue mə̀dʉ̂mbὰ
Addition | tnə̀cùbə
 | Nə̀kwì’tə̌
Autant | tNjòŋncʉ’
Calcul | tata
Calcul réfléchi | kwànta
Capacité | Mfì’ntʉ̂mju
Carré | Kàmcɛd
Classification | Nə̀yαbtə/ nə̀tətə
 | Nə̀yαbnka
Commutativité | Bwɔ̀njàmbαhα
Comparaison | tLò’mfì’
Complément | mìb
Composantes | Cû…
Compter | Nə̀ tʉntə
Conversion De Mesure | tKàŋfì’
Cube | tSagntogə / Kumntogə
Décomposition | tNə̀co’tə
Dénombrement | tDiàgnjòŋ
Différence | tFàgtə
Dizaines | Cû gham
Double | fag
Durée | Nə̀tswə
Ensemble | Nca’
Espace | Dʉ’
Figure Géométrique | Sə̂və̀ Ngα̂mmfì'
Fraction | mfè
t | Kì’mbù’
Inférieur | Nə̀kαgncʉα̂
Largeur | Nəzi/ zi
Lettre | Lα̂gŋwà’nì
Ligne | nka
Longueur | Nə̀sàgə/sàg
Masse | Lɛ̀d
Mesure | Mfì’
 | 
Mesure Du Temps | Mfì’ ngə̀laŋ
Moitié | kàm
Mesure de longueur | Mfì’sàg
Multiplication | Nə̀yòŋə/ nə̀ fǎ
Nombre | tJutʉntə̀
Nombre Consécutif | Jûnjǒŋtʉntə̀ nkànkà
 | jǒŋtʉntə̀ nkàncʉ’
t | ta
Orientation Du Plan Géométrique | Nə̀yαbnzə̀ nka
Pavé droit | Tô’nsα̌nkumntogə
Partage | Ghὰbtə̀
Plus grand que | Nə̀yαmncʉα̂
plus petit que | Nə̀kαgncʉα̂
Problème | kwànta
Produit | tαmyòŋ
Propriété | Jûl̀ɛ̀n
Ranger | Nə cαbə
Rectangle | Nsὰcɛd
Règle | kὰn
Relation | Làdtə̀/ lì
Repérage | Kì’/ nətənkə̀kì
Repère | Kə̀kì
Reproduction | mfunì
Résoudre | Nə̀mǎ’tu
Résultat | Cɔ̀
Réunion | Ntàmtə̀
Retenu | Lě’ju
Solide | Jûnə̀ta
Somme | Cɔ̀cùb
t | tàŋnka njǒŋtʉntə̀
Suite Des Nombres Naturels | Tǔncûnjǒŋtʉntə̀
Suite Des Nombres Pairs | Tàŋnka fâg njǒŋtʉntə̀
Symbole | Kə̀kì
Système De Numération | Màd nə̀ tʉntə
Table | Cɛd
