I. Liste des syllabes mə̀dʉ̂mbὰ.
Voici la liste de 1144 syllabes mə̀dʉ̂mbὰ (ce nombre est une estimation qui découle de l’inventaire ci-dessous).
a [a]
a' [ɑʔ]
α [ɑ]
αb [ɑb]
αm [ɑm]
αn [ɑn]
ba [ba]
bab [bab]
bad [bat]
bag [bak]
bal [bal]
bam [bam]
baŋ [baŋ]
ba' [bɑʔ]
bα [bɑ]
bαb [bɑb]
bαg [bɑg]
bαm [bɑm]
bαn [bɑn]
bə [bœ], [bʉ]
bəd [bʉt]
bəl [bʉl]
bəm [bʉm]
bən [bʉn]
bə' [bʉʔ]
be [bi]
beb [bib]
bed [bit]
bel [bil]
bem [bim]
ben [bin]
be' [biʔ]
bɛ [bɛ]
bɛd [bɛt]
bɛl [bɛl]
bɛn [bɛn]
bi [bhi]
bia [bhia]
biaŋ [bhiaŋ]
biα [bhiɑ]
biαg [bhiɑk]
bib [bhib]
bid [bhit]
bil [bhil]
bin [bhin]
bo [bu]
bob [bub]
bod [but]
bol [bul]
bom [bum]
bon [bun]
bo' [buʔ]
bɔ [bo]
bu [bhu]
bub [bhub]
bud [bhut]
bul [bhul]
bum [bhum]
bun [bhun]
bu' [bhuʔ]
bʉ [bhʉ]
bʉaŋ [bhʉaŋ]
bʉα [bhʉɑ]
bʉn [bhʉn]
bʉ' [bhʉʔ]
bwə [bhœ]
bwə' [bhœʔ]
bwo [bhɔ]
bwog [bhɔg]
bwoŋ [bhɔŋ]
bwɔ [bho]
ca [tʃa]
cab [tʃab]
cag [tʃak]
cam [tʃam]
caŋ [tʃaŋ]
ca' [tʃɑʔ]
cα [tʃɑ]
cαb [tʃɑb]
cαg [tʃɑk]
cαm [tʃɑm]
ce [tʃi]
ced [tʃit]
cel [tʃil]
cem [tʃim]
cə [tʃʉ]
cəb [tʃʉb]
cəd [tʃʉt]
cəl [tʃʉl]
cəm [tʃʉm]
cən [tʃʉn]
cə' [tʃʉʔ]
cɛ [tʃɛ]
cɛd [tʃɛt]
cɛl [tʃɛl]
cɛn [tʃɛn]
co [tʃu]
cob [tʃub]
cog [tʃɔk]
com [tʃum]
coŋ [tʃɔŋ]
co' [tʃuʔ]
cɔ [tʃo]
cu [tʃhu]
cub [tʃhub]
cul [tʃhul]
cum [tʃhum]
cu' [tʃhuʔ]
cʉ [tʃhʉ]
cʉα [tʃhʉɑ]
cʉb [tʃhʉb]
cʉm [tʃhʉm]
cʉ' [tʃhʉʔ]
cwa [tʃua]
cwad [tʃuat]
cwag [tʃuak]
cweb [tʃɥib]
cwed [tʃɥit]
cwel [tʃɥil]
cwem [tʃɥim]
cwen [tʃɥin]
cwe' [tʃɥiʔ]
cwɛ [tʃuɛ]
cwɛd [tʃuɛt]
cwɛl [tʃuɛl]
cwɛn [tʃuɛn]
di [dzi]
dia [dzia]
diα [dziɑ]
din [dzin]
duα [dhuɑ]
du [dhu]
dub [dhub]
dud [dhut]
dul [dhul]
dum [dhum]
dun [dhun]
du' [dhuʔ]
dʉ [dhʉ]
dʉb [dhʉb]
dʉd [dhʉt]
dʉl [dhʉl]
dʉm [dhʉm]
dʉn [dhʉn]
dʉ' [dhʉʔ]
ɛn [ɛn]
ɛ’ [ɛʔ]
fa [fa]
fab [fab]
fad [fat]
fag [fak]
fal [fal]
fam [fam]
faŋ [faŋ]
fa' [fɑʔ]
fα [fɑ]
fαb [fɑb]
fαn [fɑn]
fə [fhœ], [fʉ]
fəb [fʉb]
fəd [fʉt]
fəl [fʉl]
fəm [fʉm]
fən [fʉn]
fə' [fhœʔ]
fe [fi]
feb [fib]
fel [fil]
fem [fim]
fe' [fiʔ], [feʔ]
fɛ [fɛ]
fɛd [fɛt]
fɛl [fɛl]
fɛn [fɛn]
fi [fhi]
fia [fhia]
fiaŋ [fhiaŋ]
fiα [fhiɑ]
fiαg [fhiɑk]
fib [fhib]
fid [fhit]
fil [fhil]
fim [fhim]
fin [fhin]
fi' [fhiʔ]
fo [fu]
fod [fud]
fog [fhɔk]
fom [fum]
fon [fun]
foŋ [fhɔŋ]
fu [fhu]
fub [fhub]
fu' [fhuʔ]
fʉ [fhʉ]
fʉα [fhʉɑ]
fʉαg [fhʉɑk]
fʉd [fhʉt]
fʉl [fhʉl]
fʉn [fhʉn]
gə [gœ]
go [gu]
gha [gha]
ghab [ghab]
ghad [ghat]
ghag [ghak]
gham [gham]
ghaŋ [ghaŋ]
gha' [ghɑʔ]
ghα [ghɑ]
ghαb [ghɑb]
ghə [ghʉ]
ghəb [ghʉb]
ghəd [ghʉt]
ghəl [ghʉl]
ghəm [ghʉm]
ghə' [ghʉʔ]
gho [ghu]
ghob [ghub]
ghog [ghɔk]
ghom [ghum]
ghon [ghun]
gho' [ghuʔ]
ghɔ [gho]
ghu [ghu]
ghua' [ghuɑʔ]
ghuα [ghuɑ]
ghuαn [ghuɑn]
ghub [ghub]
ghu' [ghuʔ]
ghʉ [ghʉ]
ghʉa [ghʉa]
ghʉaŋ [ghʉaŋ]
ghʉα [ghʉɑ]
ghʉd [ghʉt]
ghʉm [ghʉm]
ghʉn [ghʉn]
hα [hɑ]
həm [hʉm]
hɔ [ho]
ju [ȝu]
juad [ȝuat]
jub [ȝub]
jum [ȝum]
jun [ȝun]
ju' [ȝuʔ]
jʉ [ȝʉ]
jʉα [ȝʉɑ]
jʉαg [ȝʉɑk]
jʉm [ȝʉm]
jʉ' [ȝʉʔ]
ka [ka]
kab [kab]
kad [kat]
kag [kak]
kal [kal]
kam [kam]
kaŋ [kaŋ]
ka' [kɑʔ]
kα [kɑ]
kαb [kɑb]
kαg [kɑk]
kαm [kɑm]
kαn [kɑn]
kə [kœ], [kʉ]
kəb [kʉb]
kəd [kʉt]
kəl [kʉl]
kəm [kʉm]
kə' [kʉʔ]
ke [ki]
ked [kit]
kel [kil]
kem [kim]
ke' [kiʔ]
kɛd [kɛt]
kɛl [kɛl]
ki [kxi]
kiα [kxiɑ]
kiαg [kxiɑk]
kib [kxib]
kin [kxin]
ki' [kxiʔ]
ko [ku]
kob [kub]
kod [kud]
kog [kɔk]
kol [kul]
kom [kum]
koŋ [kɔŋ]
ko' [kuʔ]
kɔ [ko]
ku [kxu]
kua' [kxuɑʔ]
kuα [kxuɑ]
kuαn [kxuɑn]
kub [kxub]
